# Extracted from measurement set.
# wavelength[m] = 0.002816569550804141
# Columns      u v Re Im weights
5.392820858506489e+03	2.228924012318944e+04	1.711660717137273e-02	8.776132758966200e-03	5.175923632812500e+04
-1.076218709024771e+04	6.851937792624245e+03	1.873791133979915e-02	-2.842329567059643e-04	5.521409570312500e+04
4.931270135731274e+03	-2.858885333759417e+04	3.127291593262317e-02	-1.699828645932991e-02	5.392860742187500e+04
2.672319961323876e+04	1.701956699976693e+04	6.023092103689147e-03	-2.028203096590620e-02	5.583968750000000e+04
1.318230355822205e+04	-2.289369833291831e+04	3.689338181350657e-02	3.655157617641218e-03	4.913620703125000e+04
2.615035605132956e+02	-1.231351507183331e+04	2.033993937225244e-02	3.897113896543946e-02	5.556597851562500e+04
1.691570999638490e+04	-3.439069424512911e+04	8.498847247715650e-03	-1.874243816474659e-03	5.847656250000000e+04
2.105735142125659e+04	1.434935829271054e+04	1.802832774859453e-02	1.098920688890790e-03	5.307257031250000e+04
7.319450093363481e+03	5.495585438155885e+02	2.874740133525717e-02	1.302019329326197e-02	5.503278906250000e+04
-6.047681623332247e+03	-2.012411133088999e+04	2.759431537932542e-02	9.116577117445065e-04	5.142384179687500e+04
2.678239422465947e+04	3.240124078992383e+04	-2.601865458541769e-02	-2.958130702545006e-02	4.175150390625000e+04
1.789208915951349e+04	-2.536632382058516e+04	1.056845181391110e-02	-1.365136541986096e-02	5.456412304687500e+04
-1.045231101168634e+03	2.076794197160231e+04	4.807751820662022e-03	1.430441074850921e-02	5.575554492187500e+04
2.681170760962685e+04	1.227226903883116e+04	1.957151382001068e-02	4.594763778480416e-03	5.439340820312500e+04
5.907763601095157e+03	-1.024080145386030e+04	3.245619984107861e-02	-3.788308101967369e-03	5.396904101562500e+04
3.190666536733659e+04	-1.012802787012291e+04	5.670884766045077e-03	1.519884159170386e-03	5.581109765625000e+04
1.883759804160216e+04	-1.838043272789408e+04	1.308698482620845e-02	5.486290308077337e-03	5.916715820312500e+04
-3.406991216225287e+04	-3.774064914367691e+04	2.456320796776751e-03	9.982432594446857e-03	5.474747265625000e+04
1.003298081742937e+04	-3.777458751424715e+03	1.062975384207589e-03	-3.498796454509554e-03	5.018381054687500e+04
-9.355293092484009e+03	-4.680914154010785e+02	1.862007698232663e-02	4.283710543552386e-04	5.494294726562500e+04
2.088761706926194e+04	1.921906397703529e+04	1.482574238091462e-02	2.242984821090841e-02	5.536204882812500e+04
-1.526210503878175e+04	4.288038453043437e+03	3.026939647363420e-02	4.132824736919419e-03	4.910951367187500e+04
2.426918773964119e+04	-1.311383064148060e+04	1.755550981185747e-02	-2.031050923987446e-02	5.656733203125000e+04
-2.563156921166391e+03	1.267874519823947e+04	2.469653254385642e-02	1.424696307302644e-03	5.219074609375000e+04
1.261445312098625e+03	-1.897568547055016e+04	2.185389635634236e-02	1.541023139980983e-02	5.533376757812500e+04
1.584061006499060e+04	-4.437762867589309e+03	1.444305378001033e-02	1.484700938036001e-02	5.766320312500000e+04
1.126338580643692e+04	1.184402701462758e+04	2.347260906044925e-02	1.719875735835671e-02	4.912515820312500e+04
2.890492065125844e+04	1.800838329284764e+03	1.996374356191439e-02	1.494087486533645e-02	5.367921875000000e+04
3.617408909905575e+03	1.275227334003463e+04	1.346947262138892e-03	7.710813226982256e-03	5.221474023437500e+04
-1.241208103763200e+04	1.640397732003172e+04	2.445395323092860e-03	-1.638882009521360e-03	5.578448242187500e+04
1.475511011997027e+04	3.836913906169000e+04	8.672544625373759e-03	1.002446447698950e-02	5.304778515625000e+04
-7.760054844120888e+03	1.385123918864110e+04	1.846635532438056e-02	5.138372841219941e-03	5.546295703125000e+04
-3.801661643558020e+04	4.080570777276313e+04	2.294051975545473e-02	-1.894505331587024e-02	5.133639062500000e+04
2.529826977942063e+04	-2.555435890653763e+03	-3.684892439462351e-03	5.832170907514559e-03	5.277849609375000e+04
3.647040047914627e+03	7.051417787392624e+03	2.998991213944815e-02	-1.530698570618951e-02	5.210145703125000e+04
-5.460713741367989e+03	-1.142129782297178e+04	3.154899399089759e-02	5.692470229565341e-03	4.911475390625000e+04
-2.373097930452078e+03	-6.631923861805250e+03	1.817049338681639e-02	-2.077591881063774e-02	5.583282421875000e+04
