# u_lambda  v_lambda  Re(V)[Jy]  Im(V)[Jy]  weight
-3.218594264833939815e+04 -2.843556732046462275e+04 1.473762415322490624e-02 6.658067563041576622e-04 5.738645312500000000e+04
-2.909596363430030397e+04 -2.365304153084778955e+04 1.527863957523881849e-02 5.609127472923294703e-04 6.540525976562500000e+04
1.198479034759106980e+03 -2.386696461065383846e+04 1.639546024422834300e-02 7.926753403904409408e-04 6.826482812500000000e+04
-3.440582471220697335e+04 -2.413030236769177645e+04 1.499102007492997962e-02 5.352942851011642088e-04 6.552385742187500000e+04
2.075316406931686652e+04 -4.165411490901701472e+04 1.432891126291466546e-02 1.310473632275100699e-03 6.270227343750000000e+04
-4.511435169685760229e+03 -2.567236009607376764e+04 1.599788438207160393e-02 7.977126560792161371e-04 6.674755078125000000e+04
-2.607257585533353631e+04 2.691819985322173306e+04 1.557681286845247898e-02 -9.922228308263583013e-04 5.756165625000000000e+04
-1.336784260696518504e+04 -2.536349886561681330e+02 1.943872831157835573e-02 -8.605162281293506142e-05 5.847137304687500000e+04
8.866084105485104374e+03 -8.248726044097100385e+03 1.927098809304583077e-02 3.819411016488695595e-04 6.509372070312500000e+04
-1.291822264034982072e+04 1.058367254959792808e+04 1.868337685123650643e-02 -4.858003887286413891e-04 5.726870312500000000e+04
3.731801857753658169e+03 -1.149819230491386224e+04 1.884801624466306974e-02 4.607063499943642908e-04 6.032032617187500000e+04
7.875815898245580684e+03 3.724036689255275996e+04 1.460254217710060982e-02 -1.049986200735960771e-03 5.468003710937500000e+04
-5.862183123492159211e+03 2.344306030940127675e+04 1.649698999176250208e-02 -8.119984558671942271e-04 5.672877148437500000e+04
-1.923077069314991604e+04 2.770965829120279523e+03 1.879975820122192082e-02 -2.379704346037589326e-04 5.306487500000000000e+04
1.360234012187421649e+04 5.529171704099826457e+04 1.360397079024026727e-02 -1.445657634482898010e-03 4.296084765625000000e+04
4.708462653148809295e+03 -2.474276893012789060e+03 2.004258334829653321e-02 1.343023624600736359e-04 5.619606445312500000e+04
-1.422388747770983537e+04 4.366401851485437510e+04 1.422648939359770492e-02 -1.324355164370415649e-03 5.747948242187500000e+04
1.363240271678637873e+04 3.516494096856633405e+04 1.468567646981847226e-02 -9.631866988259171541e-04 5.603867773437500000e+04
-7.272655944119514061e+03 1.265475375433266163e+04 1.856818400901926944e-02 -5.212573959063102448e-04 5.570265625000000000e+04
1.872316798629515324e+04 1.276141734408103912e+04 1.741296721289336755e-02 -3.253361401790156563e-04 5.752149804687500000e+04
5.654450912787804555e+03 4.511633087860459455e+03 1.975913026384529952e-02 -1.375415432882658596e-04 6.108147265625000000e+04
-4.725629304582249461e+04 -1.484434751723573936e+04 1.499221955759540842e-02 1.847780401451120324e-04 5.652259960937500000e+04
-3.148242484290150514e+03 1.911647429474431920e+04 1.729537442050895629e-02 -6.835573617623286451e-04 5.174563281250000000e+04
